drugbank_id	smiles	DRUG_GROUPS	applicability_domain	bitter_prob	sweet_prob
DB02488	[H][C@](C)(O)[C@]([H])(N)[C@@]1(O)N=C(CC(C)C)C(=O)N1CC=O	experimental	True	0.4703121303415854	0.00671574396132062
DB02489	CN1C=NC2=C1N=C(N)N=C2O	experimental	True	0.6426825396825396	0.007172842664585004
DB02490	CN(CC(O)=O)C(N)N	experimental	True	0.31070046481218083	0.11672164299145335
DB02491	CC(C)(N)C1=CC=C(C=C1)C1=NC(NC2=CC=C(CCN3CCOCC3)C=C2)=NC=C1Cl	experimental	True	0.8616666666666667	0.0002286778299659977
DB02492	[H][C@@](O)(CN1C[C@@]([H])(O)[C@]([H])(O)[C@@]1([H])CO)C([H])(CO)OS([O-])([O-])[O-]	experimental	True	0.3847721269910375	0.3813950769180794
DB02493	[H][C@]1(COP(O)(O)=O)O[C@@]2(N=C(O)N=C2O)[C@]([H])(O)[C@]1([H])O	experimental	True	0.44133431924672606	0.9949378325325772
DB02494	[H][C@](O)(CC1=CC=CC=C1)C(O)=O	experimental	True	0.32823999651696556	0.5407941418056397
DB02495	OCCCCN1C=NC2=C1N=C(NC1=CC=CC=C1)NC2=O	experimental	True	0.675	7.144379404022459e-06
DB02496	CC(=O)[C@@H](O)[C@H](O)COP(O)(O)=O	experimental	True	0.255889211127595	0.8629156399564302
DB02497	[H][C@@](O)(CO)COP(O)(=O)OC[C@]([H])(N)C(O)=O	experimental	True	0.31500169640034087	0.9877837919402622
DB02498	[H][C@]1(COP(O)(=O)OP(O)(=O)OC[C@@]2([H])O[C@@]([H])(N3C=NC4=C(N)N=CN=C34)[C@]([H])(O)[C@]2([H])O)C[C@@]([H])([N+]2=CC=CC(=C2)C(O)=N)[C@]([H])(O)[C@]1([H])O	experimental	True	0.7216666666666667	2.205591407455213e-06
DB02499	N[C@@H](C\N=C(/N)NO)C(O)=O	experimental	True	0.2509556826109039	0.4187186931927904
DB02500	CC1=C(CC(CO)CO)NC(=O)NC1=O	experimental	True	0.5193251894148772	0.008859064923912578
DB02501	[H][C@@](CCCNC(N)=N)(N=C(O)CCC(O)=O)C(O)=O	experimental	True	0.2399767143387422	0.122085991345465
DB02502	NC1=NC2=C(N=C(O)N2[C@H]2C[C@H](O)[C@@H](CO)O2)C(=O)N1	experimental	True	0.6596794871794872	0.004048067235896649
DB02503	OB(O)C1=CC=C(\C=C\C(O)=O)C=C1	experimental	True	0.3571903280917731	0.0021891210692098354
